Event	ID	Name			Wwise Object Path	Notes
	421083672	OnDeadEvent			\Default Work Unit\OnDeadEvent	
	953277036	Resume			\Default Work Unit\Resume	
	1281810935	Start			\Default Work Unit\Start	
	1486520697	ScoreIncrease			\Default Work Unit\ScoreIncrease	
	2389703494	Boost			\Default Work Unit\Boost	
	3092587493	Pause			\Default Work Unit\Pause	
	3675724169	ScoreDecrease			\Default Work Unit\ScoreDecrease	
	4158285989	GameOver			\Default Work Unit\GameOver	

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	153118221	Boost_Voice 1	Y:\Documents\GitHub\ScoreSpaceJam26\ScoreSpaceJam26_WwiseProject\.cache\Mac\SFX\Boost_Voice 1_6B8468CA.wem		\Actor-Mixer Hierarchy\Default Work Unit\Boost_Voices\Boost_Voice 1		320420
	179892662	Boost_Voice 9	Y:\Documents\GitHub\ScoreSpaceJam26\ScoreSpaceJam26_WwiseProject\.cache\Mac\SFX\Boost_Voice 9_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Boost_Voices\Boost_Voice 9		398748
	188365107	Voices-005	Y:\Documents\GitHub\ScoreSpaceJam26\ScoreSpaceJam26_WwiseProject\.cache\Mac\SFX\Voices-005_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Voices_Positive\Voices-005		121696
	230237707	Boost_Voice 4	Y:\Documents\GitHub\ScoreSpaceJam26\ScoreSpaceJam26_WwiseProject\.cache\Mac\SFX\Boost_Voice 4_B5AC3ED9.wem		\Actor-Mixer Hierarchy\Default Work Unit\Boost_Voices\Boost_Voice 4		278748
	232288348	EXPLDsgn_Explosion Stylized Blob 2	Y:\Documents\GitHub\ScoreSpaceJam26\ScoreSpaceJam26_WwiseProject\.cache\Mac\SFX\EXPLDsgn_Explosion Stylized Blob 2_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Socre_Decrease_Explosion\EXPLDsgn_Explosion Stylized Blob 2		257568
	276585805	Voices-004	Y:\Documents\GitHub\ScoreSpaceJam26\ScoreSpaceJam26_WwiseProject\.cache\Mac\SFX\Voices-004_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Voices_Positive\Voices-004		166684
	278900591	EXPLDsgn_Explosion Stylized Blob 6	Y:\Documents\GitHub\ScoreSpaceJam26\ScoreSpaceJam26_WwiseProject\.cache\Mac\SFX\EXPLDsgn_Explosion Stylized Blob 6_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Socre_Decrease_Explosion\EXPLDsgn_Explosion Stylized Blob 6		256824
	337173996	Eating_Blob 2	Y:\Documents\GitHub\ScoreSpaceJam26\ScoreSpaceJam26_WwiseProject\.cache\Mac\SFX\Eating_Blob 2_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Score_Increase\Eating_Blob 2		160096
	361162962	Boost_Voice 5	Y:\Documents\GitHub\ScoreSpaceJam26\ScoreSpaceJam26_WwiseProject\.cache\Mac\SFX\Boost_Voice 5_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Boost_Voices\Boost_Voice 5		288096
	376768318	ScoreDecrease_Voice 3	Y:\Documents\GitHub\ScoreSpaceJam26\ScoreSpaceJam26_WwiseProject\.cache\Mac\SFX\ScoreDecrease_Voice 3_3CB4E9D2.wem		\Actor-Mixer Hierarchy\Default Work Unit\Voices_Negative\ScoreDecrease_Voice 3		178300
	417322332	Boost_Voice 8	Y:\Documents\GitHub\ScoreSpaceJam26\ScoreSpaceJam26_WwiseProject\.cache\Mac\SFX\Boost_Voice 8_CF6A1824.wem		\Actor-Mixer Hierarchy\Default Work Unit\Boost_Voices\Boost_Voice 8		362872
	445303456	Voices-003	Y:\Documents\GitHub\ScoreSpaceJam26\ScoreSpaceJam26_WwiseProject\.cache\Mac\SFX\Voices-003_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Voices_Positive\Voices-003		135860
	479430164	Eating_Blob 5	Y:\Documents\GitHub\ScoreSpaceJam26\ScoreSpaceJam26_WwiseProject\.cache\Mac\SFX\Eating_Blob 5_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Score_Increase\Eating_Blob 5		134496
	504600093	Voices-002	Y:\Documents\GitHub\ScoreSpaceJam26\ScoreSpaceJam26_WwiseProject\.cache\Mac\SFX\Voices-002_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Voices_Positive\Voices-002		153696
	517804071	EXPLDsgn_Explosion Stylized Blob 8	Y:\Documents\GitHub\ScoreSpaceJam26\ScoreSpaceJam26_WwiseProject\.cache\Mac\SFX\EXPLDsgn_Explosion Stylized Blob 8_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Socre_Decrease_Explosion\EXPLDsgn_Explosion Stylized Blob 8		501628
	535676505	Boost_Voice 3	Y:\Documents\GitHub\ScoreSpaceJam26\ScoreSpaceJam26_WwiseProject\.cache\Mac\SFX\Boost_Voice 3_F14FBA05.wem		\Actor-Mixer Hierarchy\Default Work Unit\Boost_Voices\Boost_Voice 3		314968
	639396132	Part 1	Y:\Documents\GitHub\ScoreSpaceJam26\ScoreSpaceJam26_WwiseProject\.cache\Mac\SFX\Part 1_D79FB2B7.wem		\Interactive Music Hierarchy\Default Work Unit\Level_1\Part 1\Part 1		3413432
	647932384	EXPLDsgn_Explosion Stylized Blob 7	Y:\Documents\GitHub\ScoreSpaceJam26\ScoreSpaceJam26_WwiseProject\.cache\Mac\SFX\EXPLDsgn_Explosion Stylized Blob 7_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Socre_Decrease_Explosion\EXPLDsgn_Explosion Stylized Blob 7		317820
	692399328	ScoreDecrease_Voice 2	Y:\Documents\GitHub\ScoreSpaceJam26\ScoreSpaceJam26_WwiseProject\.cache\Mac\SFX\ScoreDecrease_Voice 2_BC723CE4.wem		\Actor-Mixer Hierarchy\Default Work Unit\Voices_Negative\ScoreDecrease_Voice 2		187540
	695519422	Boost_Voice 6	Y:\Documents\GitHub\ScoreSpaceJam26\ScoreSpaceJam26_WwiseProject\.cache\Mac\SFX\Boost_Voice 6_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Boost_Voices\Boost_Voice 6		365876
	755209257	ScoreDecrease_Voice 6	Y:\Documents\GitHub\ScoreSpaceJam26\ScoreSpaceJam26_WwiseProject\.cache\Mac\SFX\ScoreDecrease_Voice 6_0632AA8A.wem		\Actor-Mixer Hierarchy\Default Work Unit\Voices_Negative\ScoreDecrease_Voice 6		314736
	760503642	EXPLDsgn_Explosion Stylized Blob 5	Y:\Documents\GitHub\ScoreSpaceJam26\ScoreSpaceJam26_WwiseProject\.cache\Mac\SFX\EXPLDsgn_Explosion Stylized Blob 5_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Socre_Decrease_Explosion\EXPLDsgn_Explosion Stylized Blob 5		163388
	782227835	Boost_Voice 2	Y:\Documents\GitHub\ScoreSpaceJam26\ScoreSpaceJam26_WwiseProject\.cache\Mac\SFX\Boost_Voice 2_0B631498.wem		\Actor-Mixer Hierarchy\Default Work Unit\Boost_Voices\Boost_Voice 2		269404
	783438576	ScoreDecrease_Voice 7	Y:\Documents\GitHub\ScoreSpaceJam26\ScoreSpaceJam26_WwiseProject\.cache\Mac\SFX\ScoreDecrease_Voice 7_4ADCB1F5.wem		\Actor-Mixer Hierarchy\Default Work Unit\Voices_Negative\ScoreDecrease_Voice 7		255436
	791441589	EXPLDsgn_Explosion Stylized Blob 1	Y:\Documents\GitHub\ScoreSpaceJam26\ScoreSpaceJam26_WwiseProject\.cache\Mac\SFX\EXPLDsgn_Explosion Stylized Blob 1_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Socre_Decrease_Explosion\EXPLDsgn_Explosion Stylized Blob 1		384736
	820204719	Boost_Voice 7	Y:\Documents\GitHub\ScoreSpaceJam26\ScoreSpaceJam26_WwiseProject\.cache\Mac\SFX\Boost_Voice 7_CA58A18A.wem		\Actor-Mixer Hierarchy\Default Work Unit\Boost_Voices\Boost_Voice 7		274076
	878908986	Part 2	Y:\Documents\GitHub\ScoreSpaceJam26\ScoreSpaceJam26_WwiseProject\.cache\Mac\SFX\Part 2_D79FB2B7.wem		\Interactive Music Hierarchy\Default Work Unit\Level_1\Part 2\Part 2		3413432
	970101688	Eating_Blob 3	Y:\Documents\GitHub\ScoreSpaceJam26\ScoreSpaceJam26_WwiseProject\.cache\Mac\SFX\Eating_Blob 3_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Score_Increase\Eating_Blob 3		162068
	1070133552	Boost_Test	Y:\Documents\GitHub\ScoreSpaceJam26\ScoreSpaceJam26_WwiseProject\.cache\Mac\SFX\Boost_Test_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Boost_Sound\Boost_Test		281488

